episode,return,epsilon,emotion,competitive_mindset,win_rate,had_competition,lr_actual,buffer_size,train_steps
560,-78.0,0.18534625392860016,0.43155165415742036,BALANCED,0.3888888888888889,False,0.0004931551654157421,50000,86291
570,-95.0,0.1798603341631387,0.44092275936635217,BALANCED,0.42105263157894735,True,0.0004931551654157421,50000,87357
580,-109.0,0.1745367878745358,0.44092275936635217,BALANCED,0.42105263157894735,False,0.0004940922759366352,50000,88323
590,-101.0,0.1693708090964057,0.44092275936635217,BALANCED,0.42105263157894735,False,0.0004940922759366352,50000,89331
600,-92.0,0.16435773411042787,0.44092275936635217,BALANCED,0.4,True,0.0004940922759366352,50000,90537
610,-118.0,0.15949303723605676,0.44092275936635217,BALANCED,0.4,False,0.0004940922759366352,50000,91610
620,-92.0,0.15477232674484923,0.44092275936635217,BALANCED,0.4,False,0.0004940922759366352,50000,92604
630,-95.0,0.15019134089572003,0.4505588493003575,BALANCED,0.42857142857142855,True,0.0004940922759366352,50000,93658
640,-99.0,0.1457459440875472,0.4505588493003575,BALANCED,0.42857142857142855,False,0.0004950558849300358,50000,94573
650,-138.0,0.14143212312565326,0.4505588493003575,BALANCED,0.42857142857142855,False,0.0004950558849300358,50000,95634
660,-97.0,0.13724598359879192,0.43046292616744425,BALANCED,0.4090909090909091,True,0.0004950558849300358,50000,96720
670,-122.0,0.13318374636336955,0.43046292616744425,BALANCED,0.4090909090909091,False,0.0004930462926167444,50000,97739
680,-74.0,0.12924174413172762,0.43046292616744425,BALANCED,0.4090909090909091,False,0.0004930462926167444,50000,98697
690,-86.0,0.12541641816140575,0.40966588150679895,BALANCED,0.391304347826087,True,0.0004930462926167444,50000,99796
700,-112.0,0.12170431504239655,0.40966588150679895,BALANCED,0.391304347826087,False,0.0004909665881506799,50000,100821
710,-93.0,0.11810208357949242,0.40966588150679895,BALANCED,0.391304347826087,False,0.0004909665881506799,50000,101771
720,-76.0,0.11460647176690894,0.4296325937034273,BALANCED,0.4166666666666667,True,0.0004909665881506799,50000,102719
730,-86.0,0.11121432385245428,0.4296325937034273,BALANCED,0.4166666666666667,False,0.0004929632593703427,50000,103590
740,-111.0,0.10792257748859395,0.4296325937034273,BALANCED,0.4166666666666667,False,0.0004929632593703427,50000,104548
750,-149.0,0.10472826096783873,0.41051224851938717,BALANCED,0.4,True,0.0004929632593703427,50000,105757
760,-91.0,0.10162849053996058,0.41051224851938717,BALANCED,0.4,False,0.0004910512248519388,50000,106651
770,-76.0,0.09862046780861393,0.41051224851938717,BALANCED,0.4,False,0.0004910512248519388,50000,107551
780,-107.0,0.0957014772050124,0.41938942415759434,BALANCED,0.4230769230769231,True,0.0004910512248519388,50000,108571
790,-110.0,0.09286888353638029,0.41938942415759434,BALANCED,0.4230769230769231,False,0.0004919389424157594,50000,109547
800,-96.0,0.09012012960696544,0.41938942415759434,BALANCED,0.4230769230769231,False,0.0004919389424157594,50000,110490
810,-85.0,0.08745273390946595,0.400669470872392,BALANCED,0.4074074074074074,True,0.0004919389424157594,50000,111550
820,-77.0,0.08486428838478655,0.400669470872392,BALANCED,0.4074074074074074,False,0.0004900669470872392,50000,112452
830,-73.0,0.0823524562481022,0.400669470872392,BALANCED,0.4074074074074074,False,0.0004900669470872392,50000,113392
840,-81.0,0.07991496987926629,0.409640605487863,BALANCED,0.42857142857142855,True,0.0004900669470872392,50000,114421
850,-99.0,0.07754962877565917,0.409640605487863,BALANCED,0.42857142857142855,False,0.0004909640605487863,50000,115301
860,-94.0,0.07525429756562853,0.409640605487863,BALANCED,0.42857142857142855,False,0.0004909640605487863,50000,116287
870,-77.0,0.07302690408072847,0.42875477875369916,BALANCED,0.4482758620689655,True,0.0004909640605487863,50000,117207
880,-95.0,0.07086543748501699,0.42875477875369916,BALANCED,0.4482758620689655,False,0.00049287547787537,50000,118143
890,-96.0,0.06876794645972288,0.42875477875369916,BALANCED,0.4482758620689655,False,0.00049287547787537,50000,118971
900,-125.0,0.06673253744164305,0.4075326361405399,BALANCED,0.43333333333333335,True,0.00049287547787537,50000,119965
910,-86.0,0.06475737291368056,0.4075326361405399,BALANCED,0.43333333333333335,False,0.000490753263614054,50000,120877
920,-99.0,0.06284066974597925,0.4075326361405399,BALANCED,0.43333333333333335,False,0.000490753263614054,50000,121780
930,-74.0,0.0609806975861583,0.3986425471741964,DETERMINED,0.41935483870967744,True,0.000490753263614054,50000,122786
940,-77.0,0.05917577729719254,0.3986425471741964,DETERMINED,0.41935483870967744,False,0.0004898642547174197,50000,123764
950,-106.0,0.05742427944152901,0.3986425471741964,DETERMINED,0.41935483870967744,False,0.0004898642547174197,50000,124770
960,-77.0,0.0557246228100709,0.3802944841190733,DETERMINED,0.40625,True,0.0004898642547174197,50000,125792
970,-77.0,0.05407527299470094,0.3802944841190733,DETERMINED,0.40625,False,0.00048802944841190734,50000,126662
980,-70.0,0.052474741003055554,0.3802944841190733,DETERMINED,0.40625,False,0.00048802944841190734,50000,127596
990,-109.0,0.05092158191429929,0.3896489074818966,DETERMINED,0.42424242424242425,True,0.00048802944841190734,50000,128821
