episode,reward,emotion,eta,td_error,sigma_mean
371,94.60,0.980,0.00185,3.731,0.0565,0.0000,0.0000,None
381,112.51,0.980,0.00213,2.792,0.0542,0.0000,0.1564,None
391,189.21,0.980,0.00166,3.835,0.0503,0.0000,0.0000,None
401,198.79,0.980,0.00200,2.776,0.0472,0.0000,0.0000,None
411,21.29,0.446,0.00230,2.121,0.0438,0.0000,0.1461,None
421,123.33,0.980,0.00187,3.385,0.0385,0.0000,0.0434,None
431,16.68,0.335,0.00160,6.093,0.0336,0.0000,0.4569,None
441,18.90,0.300,0.00232,2.963,0.0294,0.0000,0.0000,None
451,124.54,0.980,0.00196,4.484,0.0246,0.0000,0.0000,None
461,20.19,0.393,0.00237,2.615,0.0211,0.0000,0.1560,None
471,32.12,0.402,0.00289,0.940,0.0184,0.0000,0.0435,None
481,20.10,0.486,0.00252,2.230,0.0176,0.0000,0.1706,None
491,27.28,0.432,0.00252,1.919,0.0159,0.0000,0.1323,None
1,30.77,0.454,0.00235,0.933,0.0270,0.0000,0.0537,neutral,0.0000
11,14.18,0.300,0.00117,0.926,0.0323,0.0000,0.0334,neutral,0.0000
21,16.80,0.300,0.00113,0.928,0.0325,0.0000,0.0000,None,0.0000
31,14.00,0.300,0.00114,0.915,0.0583,0.0000,0.0000,None,0.0000
41,11.20,0.300,0.00111,0.950,0.0381,0.0000,0.0000,None,0.0000
51,9.33,0.300,0.00124,0.874,0.0466,0.0000,0.0000,None,-0.1671
61,16.80,0.300,0.00119,0.879,0.0476,0.0000,0.0000,None,-0.1206
71,8.96,0.300,0.00247,0.414,0.0591,0.0000,0.0000,None,0.0896
81,17.42,0.300,0.00262,0.284,0.0585,0.0000,0.0000,None,0.3023
91,36.63,0.300,0.00273,0.225,0.0554,0.0000,0.0000,None,0.6402
101,106.41,0.980,0.00219,0.441,0.0535,0.0000,0.3585,None,1.6194
111,123.34,0.980,0.00186,0.628,0.0500,0.0000,0.0201,None,2.4081
121,141.31,0.927,0.00173,0.606,0.0465,0.0000,0.0533,None,2.4767
131,65.81,0.980,0.00152,0.853,0.0419,0.0000,0.1524,None,1.5193
141,75.44,0.980,0.00201,0.541,0.0372,0.0000,0.0000,None,0.2792
151,54.82,0.969,0.00164,0.921,0.0321,0.0000,0.5617,None,-0.2977
161,80.21,0.972,0.00203,0.696,0.0275,0.0000,0.0408,None,-0.2814
171,16.55,0.401,0.00170,1.109,0.0233,0.0000,0.0389,None,-0.3859
181,22.46,0.355,0.00257,0.664,0.0202,0.0000,0.0550,None,-0.3193
191,16.38,0.300,0.00251,0.764,0.0183,0.0000,0.0000,None,-0.7491
201,21.29,0.300,0.00274,0.559,0.0161,0.0000,0.0000,None,-0.6799
211,87.42,0.980,0.00193,1.218,0.0159,0.0000,0.0000,None,0.3020
221,16.52,0.300,0.00202,1.145,0.0156,0.0000,0.0543,None,1.3667
231,82.44,0.980,0.00192,1.056,0.0172,0.0000,0.4809,None,0.4800
241,12.95,0.311,0.00222,0.827,0.0190,0.0000,0.1100,None,-0.1489
251,18.99,0.355,0.00245,0.895,0.0229,0.0000,0.2107,None,-0.3607
261,26.16,0.460,0.00263,0.781,0.0257,0.0000,0.0910,None,-0.3241
271,15.30,0.300,0.00248,1.248,0.0306,0.0000,0.0000,None,-0.1965
281,20.09,0.349,0.00250,1.420,0.0356,0.0000,0.0491,None,-0.2134
291,17.96,0.511,0.00242,1.465,0.0397,0.0000,0.4688,None,0.0218
301,64.46,0.980,0.00218,1.735,0.0442,0.0000,0.5266,None,0.2681
311,21.34,0.410,0.00214,2.044,0.0484,0.0000,0.0120,None,0.6694
321,18.90,0.300,0.00268,2.981,0.0525,0.0000,0.0000,None,-0.1014
331,17.70,0.300,0.00303,1.342,0.0550,0.0000,0.0000,None,-0.4861
341,16.50,0.300,0.00276,2.606,0.0578,0.0000,0.0000,None,-0.4576
351,16.50,0.300,0.00282,2.203,0.0585,0.0000,0.0000,None,-0.1946
361,53.89,0.980,0.00259,2.507,0.0572,0.0000,0.0000,None,0.2607
371,16.52,0.300,0.00250,2.568,0.0563,0.0000,0.0513,None,0.2028
381,18.90,0.300,0.00247,2.372,0.0549,0.0000,0.0000,None,0.3463
391,17.70,0.300,0.00253,2.758,0.0515,0.0000,0.0000,None,-0.2783
401,12.91,0.300,0.00232,3.623,0.0484,0.0000,0.0000,None,-0.2428
411,21.29,0.300,0.00263,1.710,0.0426,0.0000,0.0000,None,0.0169
421,33.27,0.300,0.00267,2.483,0.0378,0.0000,0.0000,None,0.0754
431,18.92,0.503,0.00261,2.483,0.0342,0.0000,0.1249,None,0.1030
441,15.30,0.300,0.00293,1.305,0.0295,0.0000,0.0000,None,0.0489
451,18.90,0.300,0.00270,2.892,0.0248,0.0000,0.0000,None,-0.1944
461,66.80,0.855,0.00276,2.213,0.0214,0.0000,0.5551,None,-0.0116
471,18.90,0.337,0.00246,3.130,0.0181,0.0000,0.0373,None,0.0225
481,58.42,0.980,0.00227,3.654,0.0165,0.0000,0.6800,None,0.2991
491,16.50,0.300,0.00260,3.984,0.0157,0.0000,0.0000,None,0.3787
1,30.77,0.454,0.00235,0.933,0.0270,0.0000,0.0537,neutral,0.0000
11,14.35,0.300,0.00117,0.937,0.0324,0.0000,0.0395,None,0.0000
21,16.99,0.300,0.00110,0.939,0.0325,0.0000,0.0000,None,0.0800
31,14.16,0.300,0.00114,0.926,0.0583,0.0000,0.0000,None,-0.0208
41,11.33,0.300,0.00121,0.961,0.0381,0.0000,0.0000,None,-0.0773
51,9.44,0.300,0.00118,0.885,0.0466,0.0000,0.0000,None,-0.0179
61,16.99,0.300,0.00123,0.890,0.0476,0.0000,0.0000,None,-0.0738
71,9.01,0.300,0.00248,0.425,0.0592,0.0000,0.0000,None,0.1264
81,16.26,0.300,0.00255,0.309,0.0576,0.0000,0.0000,None,0.1909
91,37.02,0.672,0.00251,0.201,0.0554,0.0000,0.0871,None,1.3632
101,139.81,0.955,0.00199,0.510,0.0529,0.0000,0.5468,None,0.6433
111,160.46,0.980,0.00182,0.623,0.0507,0.0000,0.0247,None,0.5634
121,138.91,0.968,0.00166,0.653,0.0458,0.0000,0.0122,None,0.3755
131,98.19,0.980,0.00184,0.655,0.0419,0.0000,0.0000,None,-0.1865
141,86.22,0.980,0.00205,0.677,0.0374,0.0000,0.0000,None,-0.2306
151,62.27,0.980,0.00194,0.535,0.0324,0.0000,0.0000,None,0.1810
161,27.30,0.654,0.00235,0.470,0.0281,0.0000,0.1452,None,-0.7012
171,21.38,0.411,0.00211,0.492,0.0236,0.0000,0.1353,None,0.1920
181,77.55,0.980,0.00267,0.516,0.0196,0.0000,0.6800,None,-0.0617
191,20.30,0.679,0.00255,0.355,0.0179,0.0000,0.1516,None,0.4032
201,47.66,0.842,0.00237,0.674,0.0167,0.0000,0.5175,None,0.0546
211,61.07,0.951,0.00244,0.871,0.0158,0.0000,0.0293,None,-0.1545
221,69.45,0.980,0.00259,0.552,0.0162,0.0000,0.0000,None,0.0439
231,55.08,0.843,0.00235,0.542,0.0175,0.0000,0.1373,None,-0.1237
241,74.24,0.968,0.00184,1.014,0.0185,0.0000,0.0122,None,-0.1234
251,123.32,0.980,0.00162,3.058,0.0220,0.0000,0.0612,None,0.2673
261,220.34,0.896,0.00238,0.856,0.0257,0.0000,0.0781,None,1.3653
271,121.77,0.901,0.00262,1.052,0.0309,0.0000,0.5569,None,-0.8551
281,179.63,0.911,0.00218,1.193,0.0349,0.0000,0.0685,None,0.9738
291,15.39,0.300,0.00277,0.855,0.0397,0.0000,0.2283,None,-0.7058
301,207.17,0.909,0.00199,1.725,0.0443,0.0000,0.0713,None,2.1820
311,59.84,0.979,0.00237,0.987,0.0489,0.0000,0.0874,None,-0.7271
321,319.74,0.959,0.00165,1.796,0.0524,0.0000,0.0211,None,5.8986
331,17.59,0.451,0.00206,1.642,0.0555,0.0000,0.1511,None,-0.3992
341,14.12,0.300,0.00204,2.426,0.0571,0.0000,0.0000,None,-0.8471
351,18.84,0.300,0.00191,2.186,0.0587,0.0000,0.0000,None,0.1120
361,24.78,0.300,0.00194,1.906,0.0578,0.0000,0.0000,None,0.3373
371,62.14,0.879,0.00191,1.929,0.0562,0.0000,0.1966,None,2.2123
381,23.80,0.460,0.00251,1.311,0.0532,0.0000,0.1604,None,-0.3909
391,26.33,0.578,0.00219,1.813,0.0502,0.0000,0.3812,None,-0.0300
401,15.28,0.300,0.00253,1.279,0.0477,0.0000,0.0000,None,-0.4517
411,22.50,0.300,0.00204,1.492,0.0438,0.0000,0.0000,None,0.1936
421,22.64,0.431,0.00179,2.277,0.0387,0.0000,0.2795,None,0.4524
431,20.11,0.300,0.00184,2.148,0.0332,0.0000,0.0200,None,-0.3173
441,17.68,0.300,0.00189,1.995,0.0290,0.0000,0.0000,None,0.0323
451,24.89,0.300,0.00211,1.130,0.0251,0.0000,0.0000,None,0.1001
461,23.70,0.300,0.00241,1.556,0.0212,0.0000,0.0000,None,0.1279
471,20.10,0.300,0.00276,1.265,0.0188,0.0000,0.0000,None,-0.1813
481,20.10,0.300,0.00237,1.739,0.0166,0.0000,0.0000,None,-0.0086
491,18.91,0.300,0.00247,1.515,0.0154,0.0000,0.0000,None,0.0256
1,30.77,0.454,0.00235,0.933,0.0270,0.0000,0.0537,neutral,0.0000
11,14.35,0.300,0.00117,0.937,0.0324,0.0000,0.0395,None,0.0000
21,16.99,0.300,0.00110,0.939,0.0325,0.0000,0.0000,None,0.0800
31,14.16,0.300,0.00114,0.926,0.0583,0.0000,0.0000,None,-0.0208
41,11.33,0.300,0.00121,0.961,0.0381,0.0000,0.0000,None,-0.0773
51,9.44,0.300,0.00118,0.885,0.0466,0.0000,0.0000,None,-0.0179
61,16.99,0.300,0.00123,0.890,0.0476,0.0000,0.0000,None,-0.0738
71,9.01,0.300,0.00248,0.425,0.0592,0.0000,0.0000,None,0.1264
81,16.26,0.300,0.00255,0.309,0.0576,0.0000,0.0000,None,0.1909
91,37.02,0.672,0.00251,0.201,0.0554,0.0000,0.0871,None,1.3632
101,139.81,0.955,0.00199,0.510,0.0529,0.0000,0.5468,None,0.6433
111,160.46,0.980,0.00182,0.623,0.0507,0.0000,0.0247,None,0.5634
121,138.91,0.968,0.00166,0.653,0.0458,0.0000,0.0122,None,0.3755
131,98.19,0.980,0.00184,0.655,0.0419,0.0000,0.0000,None,-0.1865
141,86.22,0.980,0.00205,0.677,0.0374,0.0000,0.0000,None,-0.2306
151,62.27,0.980,0.00194,0.535,0.0324,0.0000,0.0000,None,0.1810
161,27.30,0.654,0.00235,0.470,0.0281,0.0000,0.1452,None,-0.7012
171,21.38,0.411,0.00211,0.492,0.0236,0.0000,0.1353,None,0.1920
181,77.55,0.980,0.00267,0.516,0.0196,0.0000,0.6800,None,-0.0617
191,20.30,0.679,0.00255,0.355,0.0179,0.0000,0.1516,None,0.4032
201,47.66,0.842,0.00237,0.674,0.0167,0.0000,0.5175,None,0.0546
211,61.07,0.951,0.00244,0.871,0.0158,0.0000,0.0293,None,-0.1545
221,69.45,0.980,0.00259,0.552,0.0162,0.0000,0.0000,None,0.0439
231,55.08,0.843,0.00235,0.542,0.0175,0.0000,0.1373,None,-0.1237
241,74.24,0.968,0.00184,1.014,0.0185,0.0000,0.0122,None,-0.1234
251,123.32,0.980,0.00162,3.058,0.0220,0.0000,0.0612,None,0.2673
261,220.34,0.896,0.00238,0.856,0.0257,0.0000,0.0781,None,1.3653
271,121.77,0.901,0.00262,1.052,0.0309,0.0000,0.5569,None,-0.8551
281,179.63,0.911,0.00218,1.193,0.0349,0.0000,0.0685,None,0.9738
291,15.39,0.300,0.00277,0.855,0.0397,0.0000,0.2283,None,-0.7058
301,207.17,0.909,0.00199,1.725,0.0443,0.0000,0.0713,None,2.1820
311,59.84,0.979,0.00237,0.987,0.0489,0.0000,0.0874,None,-0.7271
321,319.74,0.959,0.00165,1.796,0.0524,0.0000,0.0211,None,5.8986
331,17.59,0.451,0.00206,1.642,0.0555,0.0000,0.1511,None,-0.3992
341,14.12,0.300,0.00204,2.426,0.0571,0.0000,0.0000,None,-0.8471
351,18.84,0.300,0.00191,2.186,0.0587,0.0000,0.0000,None,0.1120
361,24.78,0.300,0.00194,1.906,0.0578,0.0000,0.0000,None,0.3373
371,62.14,0.879,0.00191,1.929,0.0562,0.0000,0.1966,None,2.2123
381,23.80,0.460,0.00251,1.311,0.0532,0.0000,0.1604,None,-0.3909
391,26.33,0.578,0.00219,1.813,0.0502,0.0000,0.3812,None,-0.0300
401,15.28,0.300,0.00253,1.279,0.0477,0.0000,0.0000,None,-0.4517
411,22.50,0.300,0.00204,1.492,0.0438,0.0000,0.0000,None,0.1936
421,22.64,0.431,0.00179,2.277,0.0387,0.0000,0.2795,None,0.4524
431,20.11,0.300,0.00184,2.148,0.0332,0.0000,0.0200,None,-0.3173
441,17.68,0.300,0.00189,1.995,0.0290,0.0000,0.0000,None,0.0323
451,24.89,0.300,0.00211,1.130,0.0251,0.0000,0.0000,None,0.1001
461,23.70,0.300,0.00241,1.556,0.0212,0.0000,0.0000,None,0.1279
471,20.10,0.300,0.00276,1.265,0.0188,0.0000,0.0000,None,-0.1813
481,20.10,0.300,0.00237,1.739,0.0166,0.0000,0.0000,None,-0.0086
491,18.91,0.300,0.00247,1.515,0.0154,0.0000,0.0000,None,0.0256
1,30.77,0.454,nan,nan,nan,0.0000,0.0537,neutral,0.0000
11,9.35,0.320,nan,nan,nan,0.0000,0.0000,None,0.0000
21,8.42,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0514
31,9.35,0.320,nan,nan,nan,0.0000,0.0000,None,0.0732
41,7.48,0.320,nan,nan,nan,0.0000,0.0000,None,-0.1262
51,9.35,0.320,nan,nan,nan,0.0000,0.0000,None,0.0284
61,8.42,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0221
71,9.35,0.320,nan,nan,nan,0.0000,0.0000,None,0.0205
81,8.42,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0280
91,8.42,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0356
101,nan,nan,nan,nan,nan,0.0000,nan,None,nan
111,nan,nan,nan,nan,nan,0.0000,nan,None,nan
121,nan,nan,nan,nan,nan,0.0000,nan,None,nan
131,nan,nan,nan,nan,nan,0.0000,nan,None,nan
141,nan,nan,nan,nan,nan,0.0000,nan,None,nan
151,nan,nan,nan,nan,nan,0.0000,nan,None,nan
161,nan,nan,nan,nan,nan,0.0000,nan,None,nan
171,nan,nan,nan,nan,nan,0.0000,nan,None,nan
181,nan,nan,nan,nan,nan,0.0000,nan,None,nan
191,nan,nan,nan,nan,nan,0.0000,nan,None,nan
201,nan,nan,nan,nan,nan,0.0000,nan,None,nan
211,nan,nan,nan,nan,nan,0.0000,nan,None,nan
221,nan,nan,nan,nan,nan,0.0000,nan,None,nan
231,nan,nan,nan,nan,nan,0.0000,nan,None,nan
241,nan,nan,nan,nan,nan,0.0000,nan,None,nan
251,nan,nan,nan,nan,nan,0.0000,nan,None,nan
261,nan,nan,nan,nan,nan,0.0000,nan,None,nan
271,nan,nan,nan,nan,nan,0.0000,nan,None,nan
281,nan,nan,nan,nan,nan,0.0000,nan,None,nan
291,nan,nan,nan,nan,nan,0.0000,nan,None,nan
301,nan,nan,nan,nan,nan,0.0000,nan,None,nan
311,nan,nan,nan,nan,nan,0.0000,nan,None,nan
321,nan,nan,nan,nan,nan,0.0000,nan,None,nan
331,nan,nan,nan,nan,nan,0.0000,nan,None,nan
341,nan,nan,nan,nan,nan,0.0000,nan,None,nan
351,nan,nan,nan,nan,nan,0.0000,nan,None,nan
361,nan,nan,nan,nan,nan,0.0000,nan,None,nan
371,nan,nan,nan,nan,nan,0.0000,nan,None,nan
381,nan,nan,nan,nan,nan,0.0000,nan,None,nan
391,nan,nan,nan,nan,nan,0.0000,nan,None,nan
401,nan,nan,nan,nan,nan,0.0000,nan,None,nan
411,nan,nan,nan,nan,nan,0.0000,nan,None,nan
421,nan,nan,nan,nan,nan,0.0000,nan,None,nan
1,30.77,0.454,nan,nan,nan,0.0000,0.0537,neutral,0.0000
11,9.35,0.320,nan,nan,nan,0.0000,0.0000,None,0.0000
21,8.42,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0514
31,9.35,0.320,nan,nan,nan,0.0000,0.0000,None,0.0732
41,7.48,0.320,nan,nan,nan,0.0000,0.0000,None,-0.1262
51,9.35,0.320,nan,nan,nan,0.0000,0.0000,None,0.0284
61,8.42,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0221
71,9.35,0.320,nan,nan,nan,0.0000,0.0000,None,0.0205
81,8.42,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0280
91,8.42,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0356
101,9.96,0.320,nan,nan,nan,0.0000,0.0000,None,0.0629
111,10.96,0.320,nan,nan,nan,0.0000,0.0000,None,0.0574
121,9.96,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0191
131,7.95,0.320,nan,nan,nan,0.0000,0.0000,None,0.0343
141,8.95,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0248
151,8.95,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0531
161,10.96,0.320,nan,nan,nan,0.0000,0.0000,None,0.0319
171,8.95,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0211
181,9.96,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0391
191,9.96,0.320,nan,nan,nan,0.0000,0.0000,None,0.0106
201,8.95,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0178
211,9.96,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0116
221,9.96,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0373
231,9.96,0.320,nan,nan,nan,0.0000,0.0000,None,0.0738
241,7.95,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0111
251,7.95,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0057
261,9.96,0.320,nan,nan,nan,0.0000,0.0000,None,0.0192
271,8.95,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0382
281,8.95,0.320,nan,nan,nan,0.0000,0.0000,None,0.0269
291,8.95,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0039
301,8.95,0.320,nan,nan,nan,0.0000,0.0000,None,0.0462
311,8.95,0.320,nan,nan,nan,0.0000,0.0000,None,0.0352
321,9.96,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0594
331,11.96,0.320,nan,nan,nan,0.0000,0.0000,None,0.0698
341,10.96,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0918
351,7.95,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0159
361,8.95,0.320,nan,nan,nan,0.0000,0.0000,None,0.0671
371,7.95,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0443
381,9.96,0.320,nan,nan,nan,0.0000,0.0000,None,0.0988
391,11.96,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0087
401,7.95,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0316
411,9.96,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0229
421,8.95,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0073
431,9.96,0.320,nan,nan,nan,0.0000,0.0000,None,0.0261
441,7.95,0.320,nan,nan,nan,0.0000,0.0000,None,0.0039
451,9.96,0.320,nan,nan,nan,0.0000,0.0000,None,0.0162
461,10.96,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0070
471,9.96,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0066
481,9.96,0.327,nan,nan,nan,0.0000,0.0074,None,0.0706
491,8.95,0.320,nan,nan,nan,0.0000,0.0000,None,-0.0522
1,30.77,0.454,0.00235,0.933,0.0270,0.0000,0.0537,neutral,0.0000
11,17.94,0.338,0.00194,0.920,0.0465,0.0000,0.0381,None,0.0000
21,11.33,0.300,0.00141,0.914,0.0390,0.0000,0.0000,None,-0.0627
31,12.27,0.300,0.00122,0.899,0.0590,0.0000,0.0000,None,-0.0783
41,9.44,0.300,0.00128,0.881,0.0443,0.0000,0.0000,None,0.0743
51,22.81,0.320,0.00139,0.888,0.0404,0.0000,0.0000,None,0.0088
61,12.69,0.320,0.00200,0.285,0.0593,0.0000,0.0000,None,0.0649
71,11.46,0.320,0.00191,0.310,0.0587,0.0000,0.0000,None,-0.1686
81,22.33,0.320,0.00293,0.312,0.0574,0.0000,0.0000,None,0.2471
91,23.59,0.320,0.00285,0.276,0.0560,0.0000,0.0000,None,0.1063
101,85.02,0.971,0.00302,0.427,0.0534,0.0000,0.0080,None,0.3859
111,162.84,0.811,0.00367,0.655,0.0500,0.0000,0.1164,None,1.4204
121,149.69,0.980,0.00319,0.594,0.0461,0.0000,0.0000,None,0.1904
131,118.55,0.906,0.00201,0.531,0.0418,0.0000,0.0741,None,-0.0543
141,16.57,0.325,0.00173,0.417,0.0376,0.0000,0.1438,None,0.0271
151,12.86,0.300,0.00115,0.589,0.0331,0.0000,0.0000,None,-0.7451
161,102.97,0.980,0.00180,1.080,0.0284,0.0000,0.0381,None,1.4762
171,118.42,0.980,0.00278,0.821,0.0240,0.0000,0.3225,None,0.9775
181,104.18,0.980,0.00191,0.860,0.0203,0.0000,0.0000,None,0.0071
191,68.25,0.980,0.00158,0.643,0.0180,0.0000,0.0000,None,-0.1472
201,33.51,0.720,0.00165,0.989,0.0166,0.0000,0.2276,None,0.0365
211,93.40,0.960,0.00170,0.727,0.0157,0.0000,0.0000,None,0.0080
221,22.73,0.494,0.00174,1.053,0.0163,0.0000,0.4375,None,-0.0978
231,69.44,0.960,0.00138,1.219,0.0175,0.0000,0.0031,None,-0.2413
241,79.00,0.960,0.00248,0.919,0.0188,0.0000,0.0848,None,0.5895
251,35.91,0.693,0.00173,1.951,0.0229,0.0000,0.2666,None,-0.0787
261,45.41,0.849,0.00154,2.084,0.0263,0.0000,0.0858,None,-0.1483
271,68.25,0.960,0.00131,2.225,0.0304,0.0000,0.0000,None,-0.2895
281,33.52,0.763,0.00147,1.945,0.0342,0.0000,0.1974,None,-0.0284
291,29.80,0.582,0.00131,2.615,0.0399,0.0000,0.0537,None,-0.3091
301,74.22,0.980,0.00191,3.232,0.0442,0.0000,0.0520,None,0.3872
311,17.83,0.320,0.00202,5.132,0.0492,0.0000,0.3448,None,0.0459
321,24.79,0.300,0.00153,3.109,0.0522,0.0000,0.0000,None,-0.1327
331,21.30,0.300,0.00145,1.431,0.0550,0.0000,0.0000,None,-0.1651
341,93.40,0.937,0.00256,3.938,0.0566,0.0000,0.0313,None,0.6466
351,27.54,0.642,0.00281,5.915,0.0586,0.0000,0.3385,None,0.5589
361,17.71,0.300,0.00133,5.748,0.0576,0.0000,0.0000,None,-0.6399
371,21.30,0.300,0.00145,6.602,0.0566,0.0000,0.0000,None,-0.0723
381,18.91,0.300,0.00170,5.267,0.0541,0.0000,0.0000,None,-0.0060
391,18.91,0.300,0.00217,3.075,0.0510,0.0000,0.0000,None,0.1654
401,20.11,0.320,0.00223,5.379,0.0475,0.0000,0.0000,None,0.0116
411,14.12,0.320,0.00160,8.650,0.0440,0.0000,0.0000,None,-0.1705
421,18.91,0.320,0.00204,5.584,0.0389,0.0000,0.0000,None,0.1765
431,33.28,0.320,0.00204,3.769,0.0332,0.0000,0.0000,None,0.0166
441,29.74,0.599,0.00244,5.601,0.0287,0.0000,0.1248,None,0.1866
451,17.72,0.320,0.00154,2.971,0.0254,0.0000,0.0000,None,-0.3465
461,16.52,0.320,0.00204,5.674,0.0212,0.0000,0.0000,None,0.1829
471,12.92,0.390,0.00253,9.714,0.0185,0.0000,0.0905,None,0.2672
481,15.31,0.300,0.00155,12.489,0.0159,0.0000,0.0000,None,-0.3420
491,12.92,0.320,0.00172,13.259,0.0161,0.0000,0.0200,None,-0.0136
1,30.77,0.454,0.00235,0.933,0.0270,0.0000,0.0537,neutral,0.0000
11,17.94,0.338,0.00194,0.920,0.0465,0.0000,0.0381,None,0.0000
21,11.33,0.300,0.00141,0.914,0.0390,0.0000,0.0000,None,-0.0627
31,12.27,0.300,0.00122,0.899,0.0590,0.0000,0.0000,None,-0.0783
41,9.44,0.300,0.00128,0.881,0.0443,0.0000,0.0000,None,0.0743
51,22.81,0.320,0.00139,0.888,0.0404,0.0000,0.0000,None,0.0088
61,12.69,0.320,0.00200,0.285,0.0593,0.0000,0.0000,None,0.0649
71,11.46,0.320,0.00191,0.310,0.0587,0.0000,0.0000,None,-0.1686
81,22.33,0.320,0.00293,0.312,0.0574,0.0000,0.0000,None,0.2471
91,23.59,0.320,0.00285,0.276,0.0560,0.0000,0.0000,None,0.1063
101,85.02,0.971,0.00302,0.427,0.0534,0.0000,0.0080,None,0.3859
111,162.84,0.811,0.00367,0.655,0.0500,0.0000,0.1164,None,1.4204
121,149.69,0.980,0.00319,0.594,0.0461,0.0000,0.0000,None,0.1904
131,118.55,0.906,0.00201,0.531,0.0418,0.0000,0.0741,None,-0.0543
141,16.57,0.325,0.00173,0.417,0.0376,0.0000,0.1438,None,0.0271
151,12.86,0.300,0.00115,0.589,0.0331,0.0000,0.0000,None,-0.7451
161,102.97,0.980,0.00180,1.080,0.0284,0.0000,0.0381,None,1.4762
171,118.42,0.980,0.00278,0.821,0.0240,0.0000,0.3225,None,0.9775
181,104.18,0.980,0.00191,0.860,0.0203,0.0000,0.0000,None,0.0071
191,68.25,0.980,0.00158,0.643,0.0180,0.0000,0.0000,None,-0.1472
201,33.51,0.720,0.00165,0.989,0.0166,0.0000,0.2276,None,0.0365
211,93.40,0.960,0.00170,0.727,0.0157,0.0000,0.0000,None,0.0080
221,22.73,0.494,0.00174,1.053,0.0163,0.0000,0.4375,None,-0.0978
231,69.44,0.960,0.00138,1.219,0.0175,0.0000,0.0031,None,-0.2413
241,79.00,0.960,0.00248,0.919,0.0188,0.0000,0.0848,None,0.5895
251,35.91,0.693,0.00173,1.951,0.0229,0.0000,0.2666,None,-0.0787
261,45.41,0.849,0.00154,2.084,0.0263,0.0000,0.0858,None,-0.1483
271,68.25,0.960,0.00131,2.225,0.0304,0.0000,0.0000,None,-0.2895
281,33.52,0.763,0.00147,1.945,0.0342,0.0000,0.1974,None,-0.0284
291,29.80,0.582,0.00131,2.615,0.0399,0.0000,0.0537,None,-0.3091
301,74.22,0.980,0.00191,3.232,0.0442,0.0000,0.0520,None,0.3872
311,17.83,0.320,0.00202,5.132,0.0492,0.0000,0.3448,None,0.0459
321,24.79,0.300,0.00153,3.109,0.0522,0.0000,0.0000,None,-0.1327
331,21.30,0.300,0.00145,1.431,0.0550,0.0000,0.0000,None,-0.1651
341,93.40,0.937,0.00256,3.938,0.0566,0.0000,0.0313,None,0.6466
351,27.54,0.642,0.00281,5.915,0.0586,0.0000,0.3385,None,0.5589
361,17.71,0.300,0.00133,5.748,0.0576,0.0000,0.0000,None,-0.6399
371,21.30,0.300,0.00145,6.602,0.0566,0.0000,0.0000,None,-0.0723
381,18.91,0.300,0.00170,5.267,0.0541,0.0000,0.0000,None,-0.0060
391,18.91,0.300,0.00217,3.075,0.0510,0.0000,0.0000,None,0.1654
401,20.11,0.320,0.00223,5.379,0.0475,0.0000,0.0000,None,0.0116
411,14.12,0.320,0.00160,8.650,0.0440,0.0000,0.0000,None,-0.1705
421,18.91,0.320,0.00204,5.584,0.0389,0.0000,0.0000,None,0.1765
431,33.28,0.320,0.00204,3.769,0.0332,0.0000,0.0000,None,0.0166
441,29.74,0.599,0.00244,5.601,0.0287,0.0000,0.1248,None,0.1866
451,17.72,0.320,0.00154,2.971,0.0254,0.0000,0.0000,None,-0.3465
461,16.52,0.320,0.00204,5.674,0.0212,0.0000,0.0000,None,0.1829
471,12.92,0.390,0.00253,9.714,0.0185,0.0000,0.0905,None,0.2672
